Starting teleoperation loop...
loop  497 Hz  dt<= 2.2 ms  cpu<=0.7 ms  slow   0 | F  0.8 N (max  1.6)  tau 0.14 Nm  F@c  0.0 N | err  4.3 mm  0.3 deg (max  5.1 mm)  leash   0% | v  2.3 mm/s (max  2.5)  at vmax   0%  ff 1.00 | ok  net 0
loop  497 Hz  dt<= 2.1 ms  cpu<=1.8 ms  slow   0 | F  1.3 N (max  1.4)  tau 0.15 Nm  F@c  0.0 N | err  3.7 mm  0.3 deg (max  4.4 mm)  leash   0% | v  2.2 mm/s (max  2.3)  at vmax   0%  ff 1.00 | ok  net 0
loop  496 Hz  dt<= 2.7 ms  cpu<=0.6 ms  slow   0 | F  0.5 N (max  1.7)  tau 0.14 Nm  F@c  0.0 N | err  3.2 mm  0.3 deg (max  3.7 mm)  leash   0% | v  2.2 mm/s (max  2.2)  at vmax   0%  ff 1.00 | ok  net 0
loop  497 Hz  dt<= 2.9 ms  cpu<=0.6 ms  slow   0 | F  1.6 N (max  2.6)  tau 0.14 Nm  F@c  0.0 N | err  2.0 mm  0.3 deg (max  3.2 mm)  leash   0% | v 43.0 mm/s (max 49.3)  at vmax   0%  ff 0.94 | ok  net 0
loop  497 Hz  dt<= 2.2 ms  cpu<=0.6 ms  slow   0 | F  1.5 N (max  3.2)  tau 0.14 Nm  F@c  0.0 N | err  2.6 mm  0.4 deg (max  2.7 mm)  leash   0% | v  2.1 mm/s (max 42.8)  at vmax   0%  ff 0.92 | ok  net 0
loop  497 Hz  dt<= 2.1 ms  cpu<=0.7 ms  slow   0 | F  1.5 N (max  7.4)  tau 0.14 Nm  F@c  0.0 N | err 13.3 mm  0.4 deg (max 13.3 mm)  leash   0% | v 44.8 mm/s (max 44.8)  at vmax   0%  ff 0.00 | ok  net 0
loop  497 Hz  dt<= 2.6 ms  cpu<=0.7 ms  slow   0 | F  4.6 N (max  4.6)  tau 0.14 Nm  F@c  1.3 N | err 10.8 mm  0.4 deg (max 13.4 mm)  leash   0% | v 18.6 mm/s (max 55.6)  at vmax   0%  ff 0.87 | ok  net 0
loop  497 Hz  dt<= 2.2 ms  cpu<=0.6 ms  slow   0 | F  1.1 N (max  5.5)  tau 0.14 Nm  F@c  0.0 N | err  9.0 mm  0.4 deg (max 10.8 mm)  leash   0% | v  3.4 mm/s (max 17.1)  at vmax   0%  ff 0.83 | ok  net 0
loop  497 Hz  dt<= 3.2 ms  cpu<=0.6 ms  slow   0 | F  1.6 N (max  4.2)  tau 0.14 Nm  F@c  0.0 N | err  5.7 mm  0.3 deg (max  9.0 mm)  leash   0% | v 48.1 mm/s (max 51.6)  at vmax   0%  ff 0.63 | ok  net 0
loop  497 Hz  dt<= 2.7 ms  cpu<=0.7 ms  slow   0 | F  1.8 N (max  2.2)  tau 0.15 Nm  F@c  0.0 N | err  5.1 mm  0.4 deg (max  5.7 mm)  leash   0% | v 48.5 mm/s (max 48.7)  at vmax   0%  ff 1.00 | ok  net 0
loop  497 Hz  dt<= 2.6 ms  cpu<=0.6 ms  slow   0 | F  1.1 N (max  7.3)  tau 0.15 Nm  F@c  0.3 N | err  5.7 mm  0.5 deg (max  5.8 mm)  leash   0% | v  2.1 mm/s (max 50.4)  at vmax   0%  ff 0.62 | ok  net 0
loop  497 Hz  dt<= 2.2 ms  cpu<=0.7 ms  slow   0 | F  1.7 N (max  2.5)  tau 0.15 Nm  F@c  0.0 N | err  4.9 mm  0.6 deg (max  5.7 mm)  leash   0% | v 38.7 mm/s (max 38.7)  at vmax   0%  ff 0.89 | ok  net 0
loop  497 Hz  dt<= 2.1 ms  cpu<=1.5 ms  slow   0 | F  2.7 N (max  3.2)  tau 0.20 Nm  F@c  1.1 N | err  4.3 mm  0.6 deg (max  5.0 mm)  leash   0% | v 22.5 mm/s (max 54.1)  at vmax   0%  ff 0.99 | ok  net 0
loop  497 Hz  dt<= 2.2 ms  cpu<=0.7 ms  slow   0 | F  1.5 N (max  3.5)  tau 0.20 Nm  F@c  0.0 N | err  3.7 mm  0.7 deg (max  4.4 mm)  leash   0% | v  2.3 mm/s (max 21.4)  at vmax   0%  ff 0.78 | ok  net 0
